 disease ,drug,zscore,,,
C0917801,DB01589,-5.098418334,1.611111111,2.08,0.09196752
C0917801,DB01595,-5.393140031,1.631578947,2.117421053,0.090085201
C0917801,DB01615,0.257774918,2,1.91,0.349141805
C0917801,DB09034,-0.433315379,2,2.198,0.456942009
C0917798,DB00312,1.799000967,,,
C0917798,DB00692,2.349386933,1.888888889,1.542222222,0.147556225
C0917798,DB01113,-1.660892415,1.4,1.5752,0.10548546
C0870082,DB00755,-0.459655829,1.428571429,1.469964286,0.090051849
C0855095,DB09054,-2.153939128,1,1.54075,0.251051663
C0740394,DB00049,0.809370258,,,
C0740394,DB00437,-1.656255284,,,
C0740394,DB01032,0.07821912,1.857142857,1.846142857,0.140630577
C0740394,DB01138,-3.647978667,1.363636364,1.860272727,0.13614015
C0740394,DB04854,-2.54109315,1.636363636,1.903727273,0.105215992
C0740394,DB11560,-3.713105364,1,1.9905,0.266757849
C0678222,DB00445,-7.769314287,,,
C0678222,DB00997,-12.66683374,0.413043478,0.931173913,0.040904495
C0678222,DB01229,-12.68784705,0.395833333,0.888552083,0.038833913
C0678222,DB01248,-9.922719838,0.494252874,0.918218391,0.042726745
C0678222,DB01590,-7.267026437,0.358974359,0.814692308,0.062710374
C0678222,DB04845,-2.245001728,0.666666667,0.85552381,0.084123384
C0677607,DB00451,1.840095255,,,
C0600518,DB00460,0.214534623,,,
C0585442,DB00563,0.918694754,1.519230769,1.468423077,0.055304215
C0585442,DB00997,-2.775047883,1.206521739,1.362086957,0.056058571
C0555198,DB00262,-1.176050559,,,
C0553580,DB00970,-2.150050158,1.4375,1.6755625,0.110724161
C0524910,DB00008,-4.484819104,,,
C0524910,DB00022,-4.484819104,,,
C0524910,DB00503,-0.492960491,,,
C0524910,DB00811,-3.786356662,1.689655172,1.94062069,0.066281531
C0524910,DB05521,-3.477226587,1.333333333,2.064333333,0.210225012
C0524910,DB06290,0.294936906,2.142857143,2.103571429,0.133200401
C0524910,DB08873,-2.393053196,1.6,1.9794,0.158542234
C0524910,DB08934,-7.272188673,0,2.015,0.27708302
C0524910,DB09027,-7.272188673,0,2.015,0.27708302
C0524910,DB09102,-7.272188673,0,2.015,0.27708302
C0524910,DB09183,-7.272188673,0,2.015,0.27708302
C0524910,DB09296,-7.272188673,0,2.015,0.27708302
C0524910,DB09297,-7.272188673,0,2.015,0.27708302
C0524910,DB11574,-7.272188673,0,2.015,0.27708302
C0524910,DB11575,-7.272188673,0,2.015,0.27708302
C0524909,DB00008,-4.526221618,,,
C0524909,DB00300,0.065004404,,,
C0524909,DB00709,-0.930120114,1.961538462,2.0275,0.070917226
C0524909,DB00718,-2.541533548,1,1.7675,0.301983029
C0494475,DB00252,-3.647818155,,,
C0494475,DB00555,-4.146935043,1.36,1.7518,0.094479416
C0494475,DB00564,-2.852558343,1.377777778,1.577733333,0.070096921
C0494475,DB00794,-9.419100482,0.892857143,1.779285714,0.094109684
C0494475,DB01174,-5.168319923,1.277777778,1.692305556,0.080205518
C0476089,DB00351,-3.392378703,,,
C0476089,DB00396,-3.29394208,,,
C0476089,DB00603,-3.618930284,0.928571429,1.348642857,0.116076132
C0409959,DB00586,2.2545653,2.095238095,1.903333333,0.085118298
C0376358,DB01248,-10.57853513,0.574712644,0.993103448,0.039550921
C0376358,DB05812,-2.267658354,0.6,0.9736,0.164751449
C0376358,DB08899,-2.93564921,0,0.7955,0.270979243
C0349506,DB04571,-2.044372486,1.5,1.935,0.212779228
C0345904,DB00322,-1.222318209,,,
C0334634,DB00188,-0.859294787,,,
C0334634,DB00480,-2.626269873,,,
C0334634,DB00877,-3.851667403,1.303571429,1.605357143,0.078351966
C0334634,DB06287,-3.571127312,0.933333333,1.392933333,0.128698856
C0334634,DB09053,-4.014319333,0.846153846,1.340230769,0.12307863
C0334579,DB00853,-4.625210035,1,1.522833333,0.113039912
C0311375,DB06782,0.083653263,1.8,1.7852,0.176920773
C0302592,DB00112,-5.315164504,,,
C0282193,DB08826,1.336128885,2.25,2.01225,0.177939421
C0281361,DB00305,-1.489738936,,,
C0281361,DB00441,-3.600695763,,,
C0281361,DB00530,-4.068367091,,,
C0281361,DB00544,-3.48870967,,,
