disease,drug,zscore,d,mean,sd
C0027404,DB00479,-1.7996560356901343,1.0,1.5146666666666666,0.28598057432085994
C0023434,DB00838,0.05100052921194022,1.3333333333333333,1.3243333333333334,0.1764687570711094
C0030193,DB01438,-1.6422950889818906,1.0,1.749,0.45606907371581334
C0020459,DB00787,0.7638933044446272,1.6,1.4527999999999996,0.19269706795901181
C0011581,DB01607,-0.006388896036962597,1.0,1.001,0.15652156400956385
C0024138,DB00715,1.2930842969545377,2.0869565217391304,1.9891739130434782,0.0756196706788173
C0030920,DB01380,-0.7928836579940377,1.0,1.386,0.4868305660083393
C0004604,DB00339,1.510925002150058,2.125,1.917125,0.13758128279311832
C0242350,DB06401,-1.9892103907002947,1.0,1.35225,0.17708031369974472
C0020538,DB01611,-2.4717398742355576,0.8181818181818182,1.1201818181818182,0.12218114177301946
C0024305,DB03793,0.07612684618196487,2.0,1.978,0.2889913493514988
C0002962,DB05109,-1.6779089939842693,1.3333333333333333,1.741,0.2429611308648178
C1336708,DB00681,1.6150579503871139,2.142857142857143,1.9077142857142857,0.14559406805588346
C0035258,DB01065,0.6509683930769471,2.0,1.949653846153846,0.07734039683275824
C0917801,DB00838,1.2664472836635319,2.0,1.6756666666666669,0.25609698683636767
C0270846,DB01380,0.0,1.0,1.0,0.18973665961010275
C1384606,DB00868,0.18491351024139682,2.0,1.954,0.24876494929953455
C0311375,DB01238,1.384988733810692,2.090909090909091,1.9206363636363635,0.12294159736897987
C0028754,DB00921,-1.1317275036948558,1.1,1.2556999999999998,0.13757728736968175
C0740394,DB00060,-0.9734750272093591,1.5,1.7895,0.2973882142923623
C0023467,DB00620,-1.562167641806311,1.0454545454545454,1.1956818181818183,0.09616590992344927
C0009324,DB00635,-2.415712150752568,1.2258064516129032,1.4242903225806451,0.08216370932518104
C0024138,DB00822,-2.344291566527992,1.7435897435897436,1.8873589743589745,0.061327367645723344
C0020651,DB01095,0.6965118646580527,2.15,2.0876,0.0895892850736069
C0020542,DB00741,-2.797679705231365,1.1666666666666667,1.3849722222222223,0.0780309322569511
C0003873,DB00213,-1.2829969507552645,1.1428571428571428,1.3645714285714285,0.17280967471027014
C0010200,DB00620,1.5039562992603492,1.8181818181818181,1.6854545454545455,0.08825208072372069
C0001403,DB00537,1.2518919700442666,2.2222222222222223,2.0634444444444444,0.12683025498770759
C0235480,DB00760,-0.31289817266942554,1.0,1.106,0.33876835743616907
C0029408,DB00443,-2.2627465327626197,0.8888888888888888,1.180777777777778,0.12899760740435995
C0042510,DB01260,-0.21214732854700205,1.3333333333333333,1.3863333333333334,0.24982638415952435
C0555198,DB01331,-0.058990554376299374,1.6666666666666667,1.6823333333333335,0.26557924115663356
C0017168,DB04837,-1.2489269448073697,1.0,1.638,0.5108385263466334
C0009806,DB00635,-1.1467341663231974,1.3225806451612903,1.4157096774193552,0.08121239864742748
C0023434,DB00327,0.06109738878734597,1.6,1.588,0.1964077391550547
C1269683,DB00663,0.22941573387056197,1.0,0.95,0.2179449471770337
C0242422,DB00290,-2.460502009519029,1.2,1.46325,0.10699036171543679
C0038220,DB00350,-1.6051663945456116,1.5,1.7411,0.1502024966503553
C1140680,DB00860,-0.43205973247853,1.3333333333333333,1.3724583333333336,0.09055460867773532
C0015967,DB00262,-1.7100274691830455,1.3636363636363635,1.6113636363636363,0.14486742300439354
C0041327,DB00186,-0.4751396556495605,2.15,2.1923000000000004,0.08902645674180232
C0003872,DB00544,-0.09228523332532053,1.8640776699029127,1.8675922330097088,0.03808369963596114
C0013604,DB01620,-1.8667390912978794,1.0,1.781,0.41837662458603014
C0002962,DB09265,0.6050786879235089,2.0,1.732,0.4429175995600084
C1140680,DB00860,-0.43205973247853,1.3333333333333333,1.3724583333333336,0.09055460867773532
C0028754,DB01351,-0.6485991555835691,1.0,1.356,0.5488752135048549
C0042109,DB01240,0.6593331703738532,2.0,1.697,0.4595552197505758
C0023467,DB01599,0.107200317465647,1.0,0.974,0.24253659517689286
C0025202,DB01136,0.2793812709357781,1.3529411764705883,1.322470588235294,0.10906453440215963
C0038013,DB00137,-0.1292986610427894,1.5,1.539,0.301627253410563
C0025323,DB00635,-0.14117641362817762,1.935483870967742,1.9471612903225808,0.08271508713625572
C0017612,DB00741,0.926290328493072,1.8333333333333333,1.7721666666666667,0.06603401199942904
C2607914,DB09035,-0.8128999022696036,1.4666666666666666,1.5683333333333336,0.1250666488983641
C0011884,DB00801,0.8382501097122234,2.0555555555555554,1.9773888888888886,0.09324981382167888
C0030567,DB00858,0.3067440361603016,1.0,0.914,0.2803640490505157
C0242422,DB06674,-0.2592987835005527,1.0,1.063,0.24296296014001803
C0013604,DB00860,-0.9293530129538932,1.5416666666666667,1.6215833333333332,0.08599172279288798
C0020538,DB01231,-1.3804193158454925,1.0,1.2593999999999996,0.18791391646176714
C0019151,DB00722,-1.6879653695577268,1.7142857142857142,1.9587142857142859,0.14480662686380572
C0026764,DB01131,2.460528369416483,2.25,1.714,0.21783939037740624
C0003873,DB00641,-1.6576382111056036,1.2075471698113207,1.316433962264151,0.06568791170674419
C0026896,DB00635,-0.738160086868156,1.8709677419354838,1.9219032258064517,0.06900330264004857
C0023449,DB00211,0.06570437121082846,1.8571428571428572,1.8468571428571432,0.15654535757917526
C0079773,DB00835,-2.274546159643217,1.0,1.842,0.3701837381625508
C0079773,DB00718,-1.4286991513472524,1.0,1.5085,0.3559181787995662
C0038220,DB00736,0.6744486515320559,1.8888888888888888,1.782777777777778,0.1573301553351352
C0035455,DB08815,0.4651161129839375,2.0,1.9306000000000003,0.14921005328060172
C2607914,DB00515,0.2952806621462058,1.6978417266187051,1.6812877697841728,0.05606177090708282
C0041327,DB01013,-1.050949264542368,1.3333333333333333,1.5886666666666664,0.24295495695933256
C0023434,DB00627,1.31210679024548,2.0,1.796375,0.15518935006951992
C0020649,DB00270,-1.9775033309282675,1.5714285714285714,1.8725714285714288,0.15228437415652632
C0020538,DB00175,-6.427157346558478,0.7352941176470589,1.2270588235294118,0.07651356258543693
C0020538,DB00047,-4.520465809162436,0.0,0.9295,0.20562040268416945
C0009324,DB01234,-3.133806962978952,1.1898734177215189,1.352012658227848,0.051738745373199974
C0017612,DB00316,-0.4372064061038505,1.9166666666666667,1.9455555555555557,0.06607608782847278
C0027498,DB00599,0.12905938517501656,1.8181818181818181,1.8013636363636363,0.130313512615722
C0011615,DB08932,0.6972275941327657,2.0,1.7885,0.30334427635938677
C2607914,DB00418,0.05053482763518737,2.0,1.9935999999999998,0.1266453315365395
C0028326,DB00902,0.297653852286774,2.0,1.913,0.2922858190196712
C0020538,DB01130,-5.170206052400326,0.0,0.86575,0.16744980591210012
C0020598,DB01039,0.8637663355742365,1.793103448275862,1.7224827586206894,0.08175902063632016
C0001627,DB01117,0.48287588409666093,2.0,1.807,0.3996886288099776
C0024305,DB01098,-0.008606948440009856,1.8181818181818181,1.8192727272727272,0.12674748762730847
C0030193,DB01348,-4.048415009027856,0.0,1.793,0.44288937670709605
